,pred_INVALID,pred_call,pred_dislike,pred_fist,pred_four,pred_like,pred_mute,pred_no_gesture,pred_ok,pred_one,pred_palm,pred_peace,pred_peace_inverted,pred_rock,pred_stop,pred_stop_inverted,pred_three,pred_three2,pred_two_up,pred_two_up_inverted
true_INVALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true_call,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
true_dislike,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true_fist,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true_four,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
true_like,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true_mute,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true_no_gesture,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true_ok,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true_one,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
true_palm,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
true_peace,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
true_peace_inverted,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
true_rock,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true_stop,1,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
true_stop_inverted,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true_three,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true_three2,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
true_two_up,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
true_two_up_inverted,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
